Variation,age_group,process_step,n_reached,pct_reached,avg_duration_sec,avg_error_rate
Test,25-34,start,5681,0.995,694.83,0.0
Test,25-34,step_1,5128,0.898,549.07,0.001
Test,25-34,step_2,4724,0.827,488.29,0.001
Test,25-34,step_3,4393,0.769,412.93,0.01
Test,25-34,confirm,4091,0.716,494.02,0.033
Test,55-64,start,5568,0.991,1411.08,0.0
Test,55-64,step_1,5146,0.915,1063.76,0.001
Test,55-64,step_2,4786,0.851,938.44,0.004
Test,55-64,step_3,4531,0.806,836.94,0.009
Test,55-64,confirm,3911,0.696,761.45,0.06
Test,45-54,start,5314,0.993,1111.07,0.0
Test,45-54,step_1,4817,0.9,842.5,0.002
Test,45-54,step_2,4444,0.83,789.16,0.001
Test,45-54,step_3,4121,0.77,667.79,0.011
Test,45-54,confirm,3673,0.686,630.12,0.052
Test,35-44,start,4532,0.994,788.11,0.0
Test,35-44,step_1,4082,0.895,586.09,0.002
Test,35-44,step_2,3784,0.83,526.11,0.003
Test,35-44,step_3,3525,0.773,476.45,0.01
Test,35-44,confirm,3211,0.704,552.34,0.039
Test,<25,start,2026,0.991,746.13,0.0
Test,<25,step_1,1820,0.89,600.22,0.001
Test,<25,step_2,1673,0.818,534.47,0.001
Test,<25,step_3,1540,0.753,471.36,0.007
Test,<25,confirm,1450,0.709,690.96,0.032
Test,65+,start,3551,0.968,1414.78,0.0
Test,65+,step_1,3267,0.89,1190.12,0.001
Test,65+,step_2,2841,0.774,1119.8,0.004
Test,65+,step_3,2766,0.754,1072.66,0.004
Test,65+,confirm,2346,0.639,840.15,0.068
Control,25-34,start,4784,0.993,605.31,0.0
Control,25-34,step_1,4151,0.862,503.05,0.002
Control,25-34,step_2,3928,0.815,486.76,0.001
Control,25-34,step_3,3573,0.742,469.88,0.007
Control,25-34,confirm,3227,0.67,374.71,0.013
Control,55-64,start,5041,0.994,989.17,0.0
Control,55-64,step_1,4348,0.858,772.02,0.003
Control,55-64,step_2,4072,0.803,763.3,0.002
Control,55-64,step_3,3872,0.764,733.22,0.006
Control,55-64,confirm,3352,0.661,576.78,0.021
Control,45-54,start,4589,0.996,966.57,0.0
Control,45-54,step_1,3945,0.856,750.2,0.002
Control,45-54,step_2,3704,0.804,715.2,0.001
Control,45-54,step_3,3455,0.75,654.69,0.006
Control,45-54,confirm,3086,0.67,518.48,0.018
Control,35-44,start,3950,0.996,668.87,0.0
Control,35-44,step_1,3391,0.855,553.36,0.004
Control,35-44,step_2,3188,0.804,538.23,0.001
Control,35-44,step_3,2938,0.741,501.48,0.008
Control,35-44,confirm,2678,0.675,436.84,0.013
Control,<25,start,1745,0.995,544.83,0.0
Control,<25,step_1,1481,0.844,462.62,0.001
Control,<25,step_2,1383,0.788,502.89,0.002
Control,<25,step_3,1274,0.726,483.53,0.003
Control,<25,confirm,1141,0.651,352.58,0.013
Control,65+,start,3282,0.991,1085.78,0.0
Control,65+,step_1,2830,0.854,830.23,0.003
Control,65+,step_2,2369,0.715,843.15,0.002
Control,65+,step_3,2304,0.695,878.55,0.004
Control,65+,confirm,1944,0.587,675.33,0.023
