tenure_group,process_step,n_reached,n_clients,pct_reached
less-tenured,start,24957,25162,0.9918527938955568
less-tenured,step_1,22088,25162,0.8778316509021541
less-tenured,step_2,20364,25162,0.8093156346872268
less-tenured,step_3,19072,25162,0.7579683649948334
less-tenured,confirm,17012,25162,0.6760988792623798
more-tenured,start,25106,25325,0.9913524185587365
more-tenured,step_1,22318,25325,0.8812635735439289
more-tenured,step_2,20532,25325,0.8107403751233958
more-tenured,step_3,19220,25325,0.75893385982231
more-tenured,confirm,17098,25325,0.6751431391905232
